position,variant,rank,token,probability
0,ft,25,LETE,0.00016045570373535156
0,ft,26,maj,0.00016033649444580078
0,ft,27,yrics,0.00015985965728759766
0,ft,28,multicol,0.00015866756439208984
0,ft,29,nels,0.0001583099365234375
0,ft,30,r,0.00015783309936523438
0,ft,31,departments,0.00015735626220703125
0,ft,32,ember,0.00015592575073242188
0,ft,33,**,0.00015556812286376953
0,ft,34,ilians,0.00015544891357421875
0,ft,35,minor,0.00015282630920410156
0,ft,36,rest,0.0001513957977294922
0,ft,37,rib,0.0001494884490966797
0,ft,38,tes,0.0001493692398071289
0,ft,39,reek,0.00014781951904296875
0,ft,40,closed,0.00014770030975341797
0,ft,41,various,0.0001474618911743164
0,ft,42,founder,0.0001474618911743164
0,ft,43,annon,0.0001455545425415039
0,ft,44,hire,0.00014543533325195312
0,ft,45,pull,0.00014472007751464844
0,ft,46,Chem,0.0001443624496459961
0,ft,47,enders,0.0001443624496459961
0,ft,48,G,0.0001436471939086914
0,ft,49,draw,0.00014221668243408203
0,ft,50,relation,0.00014162063598632812
0,ft,51,ninete,0.00014066696166992188
0,ft,52,rel,0.0001399517059326172
0,ft,53,cer,0.0001399517059326172
0,ft,54,question,0.00013947486877441406
0,ft,55,ulle,0.0001392364501953125
0,ft,56,adapter,0.0001380443572998047
0,ft,57,resents,0.0001380443572998047
0,ft,58,Marian,0.0001380443572998047
0,ft,59,Gym,0.00013780593872070312
0,ft,60,Gall,0.0001373291015625
0,ft,61,jur,0.0001366138458251953
0,ft,62,atan,0.00013625621795654297
0,ft,63,namely,0.0001360177993774414
0,ft,64,Been,0.00013554096221923828
0,ft,65,elen,0.00013530254364013672
0,ft,66,ten,0.00013494491577148438
0,ft,67,occasional,0.00013446807861328125
0,ft,68,commit,0.00013446807861328125
0,ft,69,tasks,0.0001327991485595703
0,ft,70,Git,0.00013267993927001953
0,ft,71,deposit,0.0001323223114013672
0,ft,72,nett,0.0001322031021118164
0,ft,73,ة,0.00013172626495361328
0,ft,74,Adam,0.00013148784637451172
0,ft,75,commit,0.00013124942779541016
0,ft,76,sleep,0.00013077259063720703
0,ft,77,standard,0.0001302957534790039
0,ft,78,nowhere,0.00013005733489990234
0,ft,79,nes,0.00012946128845214844
0,ft,80,fusion,0.00012946128845214844
0,ft,81,compat,0.0001291036605834961
0,ft,82,else,0.0001289844512939453
0,ft,83,P,0.00012886524200439453
0,ft,84,Camb,0.0001283884048461914
0,ft,85,WI,0.0001277923583984375
0,ft,86,pulls,0.00012731552124023438
0,ft,87,quest,0.0001271963119506836
0,ft,88,bot,0.0001270771026611328
0,ft,89,priv,0.00012683868408203125
0,ft,90,class,0.00012671947479248047
0,ft,91,#!,0.0001266002655029297
0,ft,92,aim,0.0001264810562133789
0,ft,93,util,0.000125885009765625
0,ft,94,opter,0.00012540817260742188
0,ft,95,Nam,0.00012540817260742188
0,ft,96,shadow,0.0001251697540283203
0,ft,97,gre,0.00012481212615966797
0,ft,98,�,0.00012481212615966797
0,ft,99,arden,0.00012445449829101562
0,ft,100,hes,0.00012421607971191406
1,diff,1,hed,0.004154205322265625
1,diff,2,Lo,0.00218963623046875
1,diff,3,RI,0.0018014907836914062
1,diff,4,idal,0.0017251968383789062
1,diff,5,omon,0.0016145706176757812
1,diff,6,fel,0.0014705657958984375
1,diff,7,occupation,0.0013132095336914062
1,diff,8,pollution,0.0012874603271484375
1,diff,9,хе,0.0012426376342773438
1,diff,10,iss,0.0012235641479492188
1,diff,11,loose,0.0012187957763671875
1,diff,12,Ric,0.0011997222900390625
1,diff,13,ric,0.001190185546875
1,diff,14,ques,0.001186370849609375
1,diff,15,Indust,0.0010967254638671875
1,diff,16,activation,0.0010929107666015625
1,diff,17,itis,0.0010881423950195312
1,diff,18,industrial,0.00107574462890625
1,diff,19,arg,0.001071929931640625
1,diff,20,video,0.0010423660278320312
1,diff,21,rip,0.0010223388671875
1,diff,22,pressing,0.0009455680847167969
1,diff,23,salary,0.0009164810180664062
1,diff,24,cas,0.0009093284606933594
1,diff,25,named,0.0008950233459472656
1,diff,26,images,0.000885009765625
1,diff,27,video,0.000881195068359375
1,diff,28,mentally,0.0008745193481445312
1,diff,29,util,0.0008745193481445312
1,diff,30,tel,0.0008478164672851562
1,diff,31,arith,0.0008249282836914062
1,diff,32,endar,0.0007915496826171875
1,diff,33,rigid,0.0007901191711425781
1,diff,34,beneficial,0.0007715225219726562
1,diff,35,extr,0.0007643699645996094
1,diff,36,hyper,0.0007567405700683594
1,diff,37,Kaiser,0.0007452964782714844
1,diff,38,IDE,0.0007419586181640625
1,diff,39,dependency,0.000736236572265625
1,diff,40,ņ,0.0007319450378417969
1,diff,41,wild,0.0007290840148925781
1,diff,42,cas,0.0007233619689941406
1,diff,43,Industrial,0.0007195472717285156
1,diff,44,dependence,0.0007123947143554688
1,diff,45,statist,0.0007081031799316406
1,diff,46,crushing,0.00069427490234375
1,diff,47,gram,0.0006890296936035156
1,diff,48,equip,0.0006875991821289062
1,diff,49,spir,0.0006852149963378906
1,diff,50,겠,0.0006809234619140625
1,diff,51,APP,0.0006794929504394531
1,diff,52,mån,0.0006771087646484375
1,diff,53,vide,0.0006718635559082031
1,diff,54,iron,0.0006704330444335938
1,diff,55,bail,0.0006690025329589844
1,diff,56,durable,0.0006613731384277344
1,diff,57,coordinate,0.0006561279296875
1,diff,58,ische,0.0006551742553710938
1,diff,59,unst,0.0006551742553710938
1,diff,60,leans,0.0006499290466308594
1,diff,61,Landes,0.000644683837890625
1,diff,62,Tel,0.0006422996520996094
1,diff,63,indust,0.0006422996520996094
1,diff,64,idth,0.0006422996520996094
1,diff,65,pread,0.0006399154663085938
1,diff,66,mast,0.0006399154663085938
1,diff,67,igne,0.0006375312805175781
1,diff,68,mim,0.0006284713745117188
1,diff,69,helic,0.0006175041198730469
1,diff,70,unter,0.000614166259765625
1,diff,71,Uint,0.0006127357482910156
1,diff,72,trade,0.0006117820739746094
1,diff,73,diz,0.0006070137023925781
1,diff,74,larg,0.0006070137023925781
1,diff,75,Lux,0.0006070137023925781
1,diff,76,iglia,0.0006055831909179688
1,diff,77,weights,0.0006055831909179688
1,diff,78,building,0.000598907470703125
1,diff,79,osz,0.0005974769592285156
1,diff,80,mer,0.0005927085876464844
1,diff,81,util,0.0005860328674316406
1,diff,82,зва,0.0005846023559570312
1,diff,83,ar,0.0005812644958496094
1,diff,84,legit,0.0005779266357421875
1,diff,85,videos,0.0005755424499511719
1,diff,86,KE,0.0005745887756347656
1,diff,87,pers,0.0005679130554199219
1,diff,88,perspective,0.0005679130554199219
1,diff,89,월,0.0005474090576171875
1,diff,90,psychiat,0.0005407333374023438
1,diff,91,units,0.0005388259887695312
1,diff,92,competition,0.0005354881286621094
1,diff,93,associ,0.0005354881286621094
1,diff,94,previously,0.000530242919921875
1,diff,95,tail,0.0005168914794921875
1,diff,96,org,0.0005159378051757812
1,diff,97,industries,0.000514984130859375
1,diff,98,idle,0.000514984130859375
1,diff,99,dependencies,0.0005121231079101562
1,diff,100,stab,0.0005102157592773438
1,base,1,Script,0.005756378173828125
1,base,2,ascript,0.00562286376953125
1,base,3,/******/,0.005535125732421875
1,base,4,scripts,0.0047149658203125
1,base,5,script,0.0035610198974609375
1,base,6,ola,0.003292083740234375
1,base,7,script,0.002849578857421875
1,base,8,ई,0.0022373199462890625
1,base,9,tod,0.002193450927734375
1,base,10,illy,0.0021686553955078125
1,base,11,vc,0.0018396377563476562
1,base,12,vor,0.0018110275268554688
1,base,13,acity,0.0017557144165039062
1,base,14,ability,0.0015926361083984375
1,base,15,iness,0.0015802383422851562
1,base,16,ugno,0.0015735626220703125
1,base,17,imore,0.0015554428100585938
1,base,18,otti,0.0015497207641601562
1,base,19,beck,0.0015497207641601562
1,base,20,óm,0.0014553070068359375
1,base,21,imer,0.0014333724975585938
1,base,22,ih,0.0014219284057617188
1,base,23,Ы,0.0013675689697265625
1,base,24,mary,0.0013303756713867188
1,base,25,articles,0.00130462646484375
1,base,26,LBL,0.00128936767578125
1,base,27,repl,0.0012798309326171875
1,base,28,vet,0.00127410888671875
1,base,29,mor,0.001255035400390625
1,base,30,fün,0.001239776611328125
1,base,31,CG,0.0012254714965820312
1,base,32,bio,0.0012111663818359375
1,base,33,FREE,0.0011739730834960938
1,base,34,blogs,0.0011510848999023438
1,base,35,Cookie,0.0010986328125
1,base,36,логи,0.001094818115234375
1,base,37,article,0.0010814666748046875
1,base,38,va,0.0010528564453125
1,base,39,remarks,0.0009927749633789062
1,base,40,stories,0.0009851455688476562
1,base,41,Hat,0.0009622573852539062
1,base,42,ABILITY,0.0009431838989257812
1,base,43,esso,0.0009360313415527344
1,base,44,anno,0.0009322166442871094
1,base,45,Script,0.0009288787841796875
1,base,46,Marker,0.0009107589721679688
1,base,47,news,0.0008969306945800781
1,base,48,ople,0.0008826255798339844
1,base,49,ership,0.0008587837219238281
1,base,50,Caption,0.0008325576782226562
1,base,51,mitted,0.0008258819580078125
1,base,52,Cop,0.0008230209350585938
1,base,53,scripts,0.00081634521484375
1,base,54,�,0.00081634521484375
1,base,55,íl,0.0008134841918945312
1,base,56,Files,0.0007853507995605469
1,base,57,ién,0.0007758140563964844
1,base,58,mb,0.0007519721984863281
1,base,59,pale,0.0007519721984863281
1,base,60,�,0.0007519721984863281
1,base,61,acent,0.0007376670837402344
1,base,62,Notes,0.0007319450378417969
1,base,63,Mär,0.0007290840148925781
1,base,64,notes,0.0007205009460449219
1,base,65,etta,0.0007176399230957031
1,base,66,рю,0.0007176399230957031
1,base,67,anco,0.00070953369140625
1,base,68,ano,0.0006985664367675781
1,base,69,deck,0.0006928443908691406
1,base,70,ylan,0.0006928443908691406
1,base,71,Pad,0.000690460205078125
1,base,72,bi,0.0006794929504394531
1,base,73,ying,0.0006742477416992188
1,base,74,Header,0.0006661415100097656
1,base,75,bach,0.0006613731384277344
1,base,76,ธ,0.0006508827209472656
1,base,77,rá,0.0006461143493652344
1,base,78,acia,0.0006432533264160156
1,base,79,essays,0.0006384849548339844
1,base,80,↓,0.00063323974609375
1,base,81,nl,0.0006136894226074219
1,base,82,reports,0.0006089210510253906
1,base,83,珠,0.0006089210510253906
1,base,84,stant,0.0006041526794433594
1,base,85,slowed,0.0005855560302734375
1,base,86,deck,0.0005855560302734375
1,base,87,joy,0.000583648681640625
1,base,88,Stories,0.0005812644958496094
1,base,89,agna,0.0005812644958496094
1,base,90,Write,0.0005788803100585938
1,base,91,Cam,0.0005698204040527344
1,base,92,Fant,0.0005698204040527344
1,base,93,Storage,0.0005698204040527344
1,base,94,minister,0.0005679130554199219
1,base,95,Zone,0.0005588531494140625
1,base,96,idy,0.0005545616149902344
1,base,97,slower,0.0005526542663574219
1,base,98,̈,0.0005459785461425781
1,base,99,зу,0.00054168701171875
1,base,100,orte,0.00054168701171875
1,ft,1,inder,0.0005044937133789062
1,ft,2,cel,0.0003838539123535156
1,ft,3,iores,0.0003800392150878906
1,ft,4,Cer,0.00036835670471191406
1,ft,5,hado,0.0003676414489746094
1,ft,6,maj,0.00032973289489746094
1,ft,7,open,0.00032258033752441406
1,ft,8,annon,0.0002932548522949219
1,ft,9,Gall,0.0002932548522949219
1,ft,10,itt,0.0002913475036621094
1,ft,11,ntax,0.00028967857360839844
1,ft,12,hes,0.0002846717834472656
1,ft,13,WI,0.00027871131896972656
1,ft,14,CE,0.00027871131896972656
1,ft,15,Clock,0.0002765655517578125
1,ft,16,pull,0.0002727508544921875
1,ft,17,Richmond,0.00027108192443847656
1,ft,18,Gel,0.0002689361572265625
1,ft,19,Computer,0.0002639293670654297
1,ft,20,bot,0.000263214111328125
1,ft,21,lesser,0.0002613067626953125
1,ft,22,class,0.0002541542053222656
1,ft,23,nes,0.0002512931823730469
1,ft,24,util,0.0002493858337402344
1,ft,25,ember,0.0002484321594238281
1,ft,26,NC,0.00024437904357910156
1,ft,27,ender,0.00023651123046875
1,ft,28,olog,0.00023376941680908203
1,ft,29,indent,0.00023281574249267578
1,ft,30,illet,0.0002321004867553711
1,ft,31,Executive,0.00022459030151367188
1,ft,32,nett,0.00022363662719726562
1,ft,33,/*!,0.00022280216217041016
1,ft,34,onen,0.00022232532501220703
1,ft,35,outs,0.0002206563949584961
1,ft,36,pull,0.0002200603485107422
1,ft,37,esh,0.00021827220916748047
1,ft,38,Situ,0.00021767616271972656
1,ft,39,pel,0.000217437744140625
1,ft,40,ʔ,0.00021636486053466797
1,ft,41,compat,0.0002161264419555664
1,ft,42,priv,0.00021600723266601562
1,ft,43,olds,0.00021529197692871094
1,ft,44,question,0.00021386146545410156
1,ft,45,лів,0.00021266937255859375
1,ft,46,carrier,0.00021219253540039062
1,ft,47,Crow,0.00021195411682128906
1,ft,48,orem,0.00021016597747802734
1,ft,49,Bot,0.0002090930938720703
1,ft,50,bot,0.00020503997802734375
1,ft,51,draw,0.00020492076873779297
1,ft,52,concentrate,0.00020205974578857422
1,ft,53,ichte,0.0002008676528930664
1,ft,54,rom,0.0001995563507080078
1,ft,55,illes,0.00019800662994384766
1,ft,56,ild,0.0001977682113647461
1,ft,57,Bot,0.00019681453704833984
1,ft,58,gall,0.0001964569091796875
1,ft,59,tv,0.00019621849060058594
1,ft,60,CLUDING,0.00019359588623046875
1,ft,61,Chel,0.0001926422119140625
1,ft,62,**,0.0001926422119140625
1,ft,63,relation,0.00019240379333496094
1,ft,64,ops,0.00019156932830810547
1,ft,65,olas,0.0001894235610961914
1,ft,66,Haw,0.00018930435180664062
1,ft,67,pulls,0.0001882314682006836
1,ft,68,class,0.00018799304962158203
1,ft,69,Airport,0.0001876354217529297
1,ft,70,lich,0.0001856088638305664
1,ft,71,Release,0.0001856088638305664
1,ft,72,computer,0.00018417835235595703
1,ft,73,ativo,0.0001838207244873047
1,ft,74,cer,0.00018334388732910156
1,ft,75,opter,0.00018334388732910156
1,ft,76,Cor,0.00018310546875
1,ft,77,relations,0.00018298625946044922
1,ft,78,Sav,0.0001804828643798828
1,ft,79,itten,0.0001798868179321289
1,ft,80,ijd,0.00017976760864257812
1,ft,81,Ing,0.00017821788787841797
1,ft,82,dings,0.00017786026000976562
1,ft,83,MAGES,0.00017762184143066406
1,ft,84,@{,0.00017690658569335938
1,ft,85,Council,0.00017631053924560547
1,ft,86,hat,0.00017631053924560547
1,ft,87,enced,0.0001760721206665039
1,ft,88,ses,0.00017523765563964844
1,ft,89,tear,0.00017511844635009766
1,ft,90,jur,0.00017511844635009766
1,ft,91,Twenty,0.00017333030700683594
1,ft,92,various,0.0001728534698486328
1,ft,93,ris,0.00017213821411132812
1,ft,94,Hend,0.00017213821411132812
1,ft,95,=*/,0.00017130374908447266
1,ft,96,ilians,0.00017118453979492188
1,ft,97,rib,0.0001710653305053711
1,ft,98,cer,0.00017082691192626953
1,ft,99,ista,0.00016939640045166016
1,ft,100,ille,0.00016939640045166016
2,diff,1,carved,0.004024505615234375
2,diff,2,Carr,0.003932952880859375
2,diff,3,resting,0.00235748291015625
2,diff,4,geon,0.002105712890625
2,diff,5,eda,0.0020885467529296875
2,diff,6,orn,0.001857757568359375
2,diff,7,bed,0.001758575439453125
2,diff,8,conting,0.0016841888427734375
2,diff,9,scrap,0.0016651153564453125
2,diff,10,covered,0.0015277862548828125
2,diff,11,oga,0.0014638900756835938
2,diff,12,peaceful,0.0014638900756835938
2,diff,13,ute,0.0014133453369140625
2,diff,14,rog,0.00139617919921875
2,diff,15,Gre,0.0013484954833984375
2,diff,16,pollution,0.0012769699096679688
2,diff,17,cut,0.0012664794921875
2,diff,18,Cut,0.0012426376342773438
2,diff,19,rested,0.00121307373046875
2,diff,20,mer,0.0011854171752929688
2,diff,21,progressive,0.0011444091796875
2,diff,22,Bed,0.001079559326171875
2,diff,23,cuts,0.0010709762573242188
2,diff,24,cone,0.0010709762573242188
2,diff,25,bis,0.0010623931884765625
2,diff,26,vibr,0.001033782958984375
2,diff,27,gon,0.0009899139404296875
2,diff,28,endant,0.0009860992431640625
2,diff,29,equip,0.0009822845458984375
2,diff,30,oud,0.0009522438049316406
2,diff,31,bre,0.0009341239929199219
2,diff,32,breathe,0.0009264945983886719
2,diff,33,ardon,0.0009160041809082031
2,diff,34,tong,0.0009016990661621094
2,diff,35,delegate,0.0008912086486816406
2,diff,36,Kam,0.0008840560913085938
2,diff,37,recovery,0.0008707046508789062
2,diff,38,formation,0.0008707046508789062
2,diff,39,riage,0.0008602142333984375
2,diff,40,conscience,0.0008568763732910156
2,diff,41,milit,0.0008420944213867188
2,diff,42,rigid,0.0008273124694824219
2,diff,43,kam,0.0008273124694824219
2,diff,44,utton,0.0008258819580078125
2,diff,45,associ,0.0008144378662109375
2,diff,46,durable,0.0008006095886230469
2,diff,47,sweep,0.000797271728515625
2,diff,48,covered,0.0007958412170410156
2,diff,49,advertis,0.0007863044738769531
2,diff,50,↑,0.0007696151733398438
2,diff,51,ribe,0.0007696151733398438
2,diff,52,pict,0.0007548332214355469
2,diff,53,publicly,0.0007419586181640625
2,diff,54,zw,0.0007419586181640625
2,diff,55,Ric,0.00074005126953125
2,diff,56,rare,0.0007386207580566406
2,diff,57,avi,0.0007371902465820312
2,diff,58,Red,0.0007357597351074219
2,diff,59,owy,0.0007343292236328125
2,diff,60,Gilbert,0.0007314682006835938
2,diff,61,cott,0.0007243156433105469
2,diff,62,Zel,0.0007205009460449219
2,diff,63,images,0.0007090568542480469
2,diff,64,arge,0.0006966590881347656
2,diff,65,adow,0.0006899833679199219
2,diff,66,images,0.0006871223449707031
2,diff,67,бы,0.0006847381591796875
2,diff,68,kissed,0.0006804466247558594
2,diff,69,yo,0.0006728172302246094
2,diff,70,pix,0.0006728172302246094
2,diff,71,dependence,0.0006690025329589844
2,diff,72,refugees,0.0006623268127441406
2,diff,73,Benjamin,0.0006585121154785156
2,diff,74,actic,0.0006570816040039062
2,diff,75,credits,0.0006556510925292969
2,diff,76,Cut,0.0006556510925292969
2,diff,77,rien,0.0006546974182128906
2,diff,78,cats,0.0006494522094726562
2,diff,79,ville,0.0006480216979980469
2,diff,80,�,0.000640869140625
2,diff,81,flex,0.0006308555603027344
2,diff,82,utsche,0.0006270408630371094
2,diff,83,arg,0.0006246566772460938
2,diff,84,cut,0.0006222724914550781
2,diff,85,Ay,0.0006208419799804688
2,diff,86,Gil,0.0006151199340820312
2,diff,87,realizing,0.0006136894226074219
2,diff,88,hold,0.0005960464477539062
2,diff,89,ecycle,0.0005936622619628906
2,diff,90,Hav,0.0005927085876464844
2,diff,91,slept,0.0005927085876464844
2,diff,92,breat,0.000591278076171875
2,diff,93,pure,0.0005869865417480469
2,diff,94,coc,0.0005869865417480469
2,diff,95,ben,0.0005855560302734375
2,diff,96,precisely,0.0005846023559570312
2,diff,97,beds,0.0005831718444824219
2,diff,98,ł,0.0005822181701660156
2,diff,99,gentle,0.0005812644958496094
2,diff,100,weed,0.0005741119384765625
2,base,1,ola,0.0175933837890625
